Nachname;Vorname;Rufname;Klasse
Ahrens;Lena;;7b
Baumgart;Jonas;;7b
Beckmann;Mia;;7b
Çelik;Emre;;7b
Dittmer;Frieda;;7b
Engelhardt;Paul;;7b
Fitschen;Marlene;Leni;7b
Görlitz;Nick;;7b
Grewe;Alina;Ali;7b
Hinrichs;Ole;;7b
Jansen;Sophie;;7b
Kowalski;Mateusz;Matti;7b
Kruse;Hannah;;7b
Lindner;Felix;;7b
Meyer-Ahrend;Ann-Kathrin;Anki;7b
Nowak;Luca;;7b
Ohlendorf;Tammo;;7b
Petrov;Milena;;7b
Reimers;Jasper;;7b
Sander;Carlotta;Lotta;7b
Schulte;Mert;;7b
Stapel;Greta;;7b
Tiedemann;Levke;;7b
Ulrich;Moritz;;7b
Vogel;Emilia;;7b
Wendland;Bjarne;;7b
Yildiz;Zeynep;;7b
Zimmer;Theo;;7b
